account_id,churned
11,True
63,True
91,True
158,True
194,True
267,True
249,True
529,True
142,True
411,True
147,True
308,True
45,True
227,True
94,False
440,True
193,True
76,False
212,False
316,True
324,True
402,True
20,True
341,True
6,True
141,False
519,True
99,True
164,True
199,True
457,True
286,True
429,True
426,False
353,True
500,True
369,True
314,True
516,True
112,True
78,True
10,True
251,True
3,True
303,False
362,True
428,True
466,True
477,True
463,True
259,True
364,True
219,False
136,True
441,True
57,True
284,True
299,True
367,True
234,True
52,True
515,True
481,True
262,False
373,True
19,True
334,True
210,False
229,False
55,True
287,True
427,True
152,False
146,True
277,True
237,True
30,True
416,True
432,True
431,True
221,False
292,True
288,False
81,True
228,True
489,True
269,True
230,True
203,True
202,True
132,True
93,True
363,True
351,False
404,True
375,True
35,True
128,True
478,True
116,True
355,True
7,False
65,True
412,False
256,True
295,True
254,False
451,True
68,True
118,False
434,True
493,True
306,True
348,False
356,True
387,True
329,True
424,True
420,True
138,True
322,True
464,True
119,True
391,True
527,True
173,True
413,True
455,False
33,True
88,True
480,True
209,True
133,True
517,True
350,True
323,True
410,True
486,True
505,True
446,True
69,True
43,True
469,True
113,False
343,True
521,True
16,True
408,True
415,True
179,True
174,True
403,True
340,False
417,True
385,True
121,True
304,True
495,False
100,True
487,False
176,False
177,True
27,False
459,True
296,False
518,True
407,True
9,True
98,True
512,True
492,True
395,True
130,False
226,False
317,False
290,False
508,False
22,True
354,True
318,False
399,False
423,True
338,False
143,False
273,True
175,True
151,True
83,False
108,False
79,True
187,False
376,True
271,False
320,True
90,False
1,False
167,True
97,False
101,True
28,False
291,True
2,False
222,True
85,False
123,False
484,True
361,False
37,True
509,True
276,False
4,False
12,True
74,False
337,False
476,False
184,False
70,False
313,False
14,False
180,False
371,True
66,False
92,False
49,False
280,False
383,False
204,True
473,False
154,False
122,False
215,False
442,False
145,False
137,False
61,False
124,False
253,False
24,False
401,False
301,True
474,False
157,False
491,False
326,False
307,False
381,False
58,False
170,False
300,False
44,False
445,False
75,False
131,False
392,False
374,True
59,False
159,False
278,False
217,False
109,False
331,False
134,False
135,False
54,False
380,False
13,False
105,False
378,False
36,False
270,True
265,False
165,False
156,False
192,False
312,False
456,False
207,False
166,False
205,False
443,False
497,False
246,False
168,False
494,False
15,False
218,False
252,False
325,False
359,False
465,False
67,False
248,False
524,False
60,False
5,False
51,False
77,False
453,True
437,False
73,False
250,False
439,False
294,True
56,False
390,False
467,False
377,False
139,False
21,False
34,False
414,False
264,True
510,False
40,False
200,False
214,False
42,False
483,False
400,False
433,False
389,False
365,False
482,True
503,False
388,False
357,False
490,False
150,False
62,False
72,False
372,False
321,True
53,False
39,False
275,False
247,False
244,False
339,False
41,False
89,False
117,False
522,False
506,False
190,False
243,False
384,False
96,False
245,False
525,False
422,True
87,False
111,False
319,False
233,False
181,False
328,False
330,False
223,False
345,False
281,False
397,False
419,False
162,False
327,False
242,False
293,True
298,False
504,False
360,False
305,False
452,False
84,False
528,False
496,False
239,True
163,False
454,False
107,False
110,False
485,False
32,False
8,False
511,False
255,False
285,False
191,False
129,False
448,False
409,True
153,False
266,True
336,False
310,False
103,False
216,False
263,False
352,False
224,False
520,False
475,False
206,False
23,False
182,False
211,False
462,False
436,False
115,False
368,False
149,False
213,False
114,False
